original_Lat,original_Lon,distance,formatted,lat,lon,name,housenumber,street,postcode,district,suburb,city,county,state,state_code,country,country_code,attribution,attribution_license,attribution_url
13.0067,77.545,3.5371544546938702,"Nagapura Ward, Bengaluru - 560086, KA, India",13.0059714,77.5453317,,,,560086,West Zone,Nagapura Ward,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.8988,77.5764,9.431933155193398,"Jaraganahalli Ward, Bengaluru - 560078, KA, India",12.8989077,77.5762494,,,,560078,Bommanahalli Zone,Jaraganahalli Ward,Bengaluru,Bangalore South,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.8845,77.6036,2.8082666201337414,"BDA 80 Feet Road, Arekere, Bengaluru - 560076, KA, India",12.8845129,77.6010861,BDA 80 Feet Road,,BDA 80 Feet Road,560076,Bommanahalli Zone,Arekere,Bengaluru,Bangalore South,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
13.0158,77.539,6.520392562345597,"Nandini Layout, Bengaluru - 560096, KA, India",13.016288,77.5380389,,,,560096,West Zone,Nandini Layout,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.9343,77.6044,0,"Christ University, Christ School Road, Suddagunte Palya Ward, Bengaluru - 560029, KA, India",12.93377475,77.60516059136835,Christ University,,Christ School Road,560029,South Zone,Suddagunte Palya Ward,Bengaluru,Bangalore South,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
13.0019,77.5713,15.531075007826947,"K C G Pharma And Generals, 17, Sampige Road, Malleswaram, Bengaluru - 560003, KA, India",13.0020076,77.5713914,K C G Pharma And Generals,17,Sampige Road,560003,West Zone,Malleswaram,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
13.0012,77.5995,4.906894767172354,"6th Main, I T I Layout, S K Garden, Bengaluru - 560046, KA, India",13.0014886,77.6014987,"6th Main, I T I Layout",,"6th Main, I T I Layout",560046,East Zone,S K Garden,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.9442,77.6076,22.726129440249064,"Adugodi (Towards St. Johns), Hosur Road, Lakkasandra, Bengaluru - 560030, KA, India",12.9440865,77.6074256,Adugodi (Towards St. Johns),,Hosur Road,560030,South Zone,Lakkasandra,Bengaluru,Bangalore South,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
13.0487,77.5923,8.702447402533647,"Bellary Road, Kempapura, Bengaluru - 560065, KA, India",13.0490205,77.5925303,Bellary Road,,Bellary Road,560065,Yelahanka Zone,Kempapura,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
13.0487,77.5923,8.702447402533647,"Bellary Road, Kempapura, Bengaluru - 560065, KA, India",13.0490205,77.5925303,Bellary Road,,Bellary Road,560065,Yelahanka Zone,Kempapura,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.9438,77.5738,3.143895377123009,"Tagore Circle Underpass, Basavanagudi, Bengaluru - 560004, KA, India",12.9435602,77.5738305,Tagore Circle Underpass,,Tagore Circle Underpass,560004,South Zone,Basavanagudi,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.9889,77.5741,5.025290247446575,"Subedar Chatram Road, Gandhinagar, Bengaluru - 560020, KA, India",12.9887794,77.5741029,Subedar Chatram Road,,Subedar Chatram Road,560020,West Zone,Gandhinagar,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.9335,77.5691,84.30222645792547,"Koli Mane, 147/1, Sri Rama Road, Thyagaraja Nagar, Bengaluru - 560028, KA, India",12.9328003,77.5688005,Koli Mane,147/1,Sri Rama Road,560028,South Zone,Thyagaraja Nagar,Bengaluru,Bangalore South,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.9766,77.5993,0,"Mahatma Gandhi Circle, Queen's Road, Sampangiram Nagar Ward, Bengaluru - 560001, KA, India",12.976594250000002,77.59922289115156,Mahatma Gandhi Circle,,Queen's Road,560001,East Zone,Sampangiram Nagar Ward,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.8845,77.6036,2.8082666201337414,"BDA 80 Feet Road, Arekere, Bengaluru - 560076, KA, India",12.8845129,77.6010861,BDA 80 Feet Road,,BDA 80 Feet Road,560076,Bommanahalli Zone,Arekere,Bengaluru,Bangalore South,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
13.0019,77.5713,15.531075007826947,"K C G Pharma And Generals, 17, Sampige Road, Malleswaram, Bengaluru - 560003, KA, India",13.0020076,77.5713914,K C G Pharma And Generals,17,Sampige Road,560003,West Zone,Malleswaram,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
13.102,77.5864,2.293645461820104,"Yelahanka Elevated Corridor (u/c), Atturu, Bengaluru - 560064, KA, India",13.1019979,77.5861932,Yelahanka Elevated Corridor (u/c),,Yelahanka Elevated Corridor (u/c),560064,Yelahanka Zone,Atturu,Bengaluru,Yelahanka taluku,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
